x,y,raw,cumulative,Logistic
91.4709554,47.86262207,4.57E-06,0.696168348,0.000548163
100.7376221,55.23762207,5.29E-06,0.858104828,0.000634404
102.6292887,25.88762207,6.88E-05,6.388517651,0.00819501
110.6126221,37.28762207,1.30E-05,2.282113995,0.001559587
114.5792887,37.37928874,2.82E-06,0.328090936,0.000338313
64.00428874,41.87928874,2.07E-07,0.006336608,0.000024903
105.9542887,48.26262207,6.95E-06,1.180314885,0.000834209
92.97928874,24.57928874,1.55E-08,0.00031981,0.000001857
77.90428874,21.85428874,1.35E-09,0.000035655,0.000000163
147.0542887,59.97928874,6.07E-07,0.03507422,0.000072862
63.07928874,36.85428874,2.73E-07,0.009405213,0.000032799
116.5626221,26.55428874,7.86E-04,16.86499771,0.086294166
124.3126221,40.28762207,1.97E-04,10.24688527,0.023099014
97.83762207,47.72928874,9.74E-07,0.069189303,0.000117005
75.8959554,55.33762207,3.59E-06,0.472217119,0.000431415
60.5959554,25.48762207,3.44E-11,0.000000443,0.000000004
118.1876221,47.90428874,2.45E-06,0.262238432,0.000294762
74.36262207,30.7709554,1.18E-09,0.000031429,0.000000142
113.0709554,37.37928874,8.70E-05,7.236034522,0.010346359
83.2709554,41.25428874,1.83E-06,0.170725857,0.000220282
72.5709554,48.06262207,1.34E-06,0.112093894,0.000161478
100.8876221,35.75428874,4.01E-05,4.768123871,0.004790112
80.03762207,41.10428874,7.36E-06,1.268171487,0.000882846
86.05428874,33.62928874,5.29E-06,0.859162646,0.000635091
87.0959554,24.3709554,3.19E-10,0.000008208,0.000000038
125.0542887,51.78762207,1.45E-06,0.123523159,0.000174568
101.9459554,4.704288737,1.02E-07,0.002228966,0.000012297
77.13762207,44.65428874,2.03E-06,0.198451689,0.000243286
137.0376221,46.11262207,3.22E-04,12.3190718,0.037284703
136.3959554,47.22928874,8.40E-05,7.158897786,0.009988509
106.7959554,11.06262207,6.43E-11,0.000001258,0.000000008
98.91262207,56.62928874,3.28E-06,0.409868147,0.000393476
83.05428874,59.55428874,2.65E-06,0.298059476,0.000318256
62.1459554,56.72928874,1.04E-05,1.843589531,0.001242892
71.12928874,50.1959554,2.12E-06,0.214195484,0.000254403
128.6709554,42.47928874,1.30E-04,8.699175994,0.015375898
91.62928874,50.35428874,1.08E-06,0.080460714,0.000129411
97.36262207,38.57928874,1.30E-06,0.106695452,0.000155539
127.9626221,36.8209554,3.48E-04,12.86137868,0.040068599
112.5459554,0.120955404,5.85E-08,0.001144662,0.000007029
74.1959554,45.18762207,5.53E-07,0.030850072,0.000066421
67.5959554,54.12928874,3.81E-06,0.522195761,0.000457983
90.8959554,26.9459554,1.28E-06,0.104381325,0.000153247
128.8792887,48.71262207,6.04E-06,0.993362221,0.000724781
121.9459554,49.11262207,8.59E-06,1.509854629,0.001030879
107.5126221,51.9709554,2.47E-06,0.265444325,0.000297089
113.5459554,23.03762207,7.13E-07,0.045933173,0.000085624
76.7209554,39.43762207,8.99E-07,0.062931814,0.000107944
61.18762207,49.25428874,5.57E-07,0.03118299,0.000066874
74.41262207,18.9209554,2.73E-10,0.000007036,0.000000033
120.5209554,59.72928874,1.08E-07,0.002428835,0.00001303
118.2209554,5.445955404,7.37E-10,0.000018068,0.000000088
99.36262207,55.36262207,5.85E-06,0.955913184,0.000702713
85.5209554,50.13762207,3.79E-05,4.647522606,0.004534798
131.9626221,34.46262207,8.85E-03,32.92485096,0.515252489
111.1126221,28.07928874,5.59E-05,5.690181117,0.006665742
66.1209554,32.9959554,3.80E-06,0.519152056,0.000455737
101.3709554,58.43762207,1.22E-06,0.097124209,0.000146788
104.2792887,23.60428874,3.78E-05,4.643729793,0.004524848
71.45428874,44.0209554,6.87E-07,0.043488719,0.000082565
75.9959554,10.60428874,3.23E-11,0.000000373,0.000000004
81.85428874,37.2709554,2.85E-06,0.335185105,0.000342761
101.6292887,53.10428874,5.41E-06,0.878457901,0.000649852
102.5292887,22.55428874,6.37E-08,0.001260193,0.000007648
114.2376221,32.60428874,7.53E-06,1.303227913,0.000903876
60.42928874,31.55428874,5.70E-08,0.001115721,0.00000685
77.8209554,42.4709554,1.93E-05,3.029858572,0.002308825
98.06262207,14.93762207,9.37E-11,0.000002095,0.000000011
101.8376221,18.33762207,2.69E-09,0.000070526,0.000000323
99.61262207,17.05428874,2.77E-11,0.000000256,0.000000003
60.12928874,28.0459554,4.20E-08,0.000811688,0.000005047
94.30428874,50.5959554,6.84E-07,0.042939876,0.000082122
83.02928874,53.52928874,4.63E-06,0.711328007,0.000555453
86.5959554,47.65428874,2.14E-06,0.218034323,0.000257096
105.4459554,20.6459554,1.11E-07,0.00254979,0.000013363
107.5209554,39.53762207,1.82E-05,2.904329545,0.00217731
90.4209554,28.61262207,2.06E-05,3.177951434,0.00246732
122.2792887,51.6209554,9.83E-07,0.070265401,0.000118051
116.1292887,1.68762207,3.04E-06,0.364990932,0.000364654
71.72928874,30.0209554,2.53E-10,0.000006589,0.00000003
82.40428874,55.12928874,4.50E-06,0.679420471,0.000539675
108.3876221,30.20428874,8.48E-04,17.27695064,0.0923995
89.8209554,33.5709554,5.89E-06,0.964127872,0.000706411
82.2209554,34.42928874,1.34E-06,0.111154805,0.000160568
118.9209554,48.9709554,2.62E-06,0.293574175,0.000315103
95.4709554,33.45428874,2.28E-05,3.408108401,0.002728663
74.85428874,36.57928874,6.27E-06,1.037623248,0.000751951
78.72928874,51.48762207,2.00E-06,0.19402346,0.00024
78.8459554,28.00428874,9.72E-10,0.000025136,0.000000117
115.9792887,51.81262207,1.23E-06,0.097614053,0.000147124
73.4209554,53.1709554,2.68E-06,0.301788153,0.000321341
98.72928874,43.50428874,4.44E-06,0.661110521,0.000533045
99.4459554,21.67928874,9.75E-08,0.002028731,0.000011713
92.91262207,45.67928874,8.14E-06,1.420437228,0.00097635
65.1959554,50.68762207,8.74E-07,0.061072949,0.000104999
109.2292887,36.22928874,2.38E-05,3.492409397,0.002855838
127.6792887,51.41262207,2.22E-06,0.229600882,0.000266603
76.40428874,9.670955404,7.38E-10,0.000018141,0.000000089
93.70428874,23.18762207,5.44E-06,0.883340559,0.000653107
119.3959554,59.6959554,1.00E-07,0.002117593,0.000012013
116.7376221,26.6959554,1.11E-04,7.995215191,0.013144571
127.9209554,52.98762207,1.07E-06,0.079707938,0.00012864
100.8126221,34.2959554,4.46E-05,5.07922919,0.00533366
94.00428874,37.40428874,1.09E-05,1.943553744,0.001307968
122.2042887,42.37928874,7.52E-06,1.29871092,0.000901865
118.9376221,32.7459554,2.23E-05,3.351575567,0.002676305
97.75428874,23.4709554,7.29E-07,0.047233538,0.000087556
62.78762207,39.80428874,1.90E-07,0.005379393,0.000022879
147.6876221,59.60428874,1.05E-06,0.077058277,0.000125905
61.7709554,58.01262207,1.09E-05,1.931574966,0.001303147
99.16262207,17.48762207,4.96E-11,0.000000828,0.000000006
101.7709554,24.5209554,2.78E-06,0.32136561,0.000333852
83.7459554,29.1209554,9.23E-06,1.643668972,0.001107103
99.87928874,28.62928874,1.57E-04,9.565972084,0.018553474
61.71262207,48.32928874,3.55E-07,0.014056226,0.000042589
69.72928874,32.6209554,6.65E-06,1.121054311,0.000798496
121.7792887,57.3709554,3.09E-07,0.01120031,0.000037169
93.7959554,48.6959554,9.27E-07,0.065671788,0.000111296
96.7209554,59.58762207,5.80E-07,0.032939523,0.000069617
86.1459554,20.40428874,6.60E-11,0.000001291,0.000000008
100.6792887,25.3209554,1.99E-05,3.086642698,0.002386045
107.3792887,52.7709554,2.13E-06,0.214832387,0.000255209
72.9459554,40.18762207,1.63E-05,2.69235061,0.001952795
87.23762207,54.33762207,8.41E-06,1.476704026,0.001008738
